City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,weno,7.4515,151.8468,28.97,84,75,2.06,FM,light rain
82,bergeijk,51.3192,5.3583,23.77,58,100,4.63,NL,overcast clouds
83,puerto natales,-51.7236,-72.4875,5.25,60,40,6.69,CL,scattered clouds
84,dubai,25.2582,55.3047,39.96,31,0,3.09,AE,clear sky
85,cabedelo,-6.9811,-34.8339,27.37,72,20,6.88,BR,few clouds
86,qurayyat,31.3318,37.3428,42.1,6,0,6.17,SA,clear sky
87,el bayadh,33.6832,1.0193,34.25,7,0,7.28,DZ,clear sky
88,olonkinbyen,70.9221,-8.7187,4.27,96,100,10.26,SJ,light rain
89,ribeira brava,32.65,-17.0667,26.18,66,55,1.41,PT,broken clouds
90,chonchi,-42.6128,-73.8092,7.84,69,4,1.86,CL,clear sky
91,walvis bay,-22.9575,14.5053,26.53,34,0,1.54,NA,clear sky
92,khorinsk,52.1657,109.7726,17.02,93,100,1.13,RU,overcast clouds
93,amboanjo,-22.6667,47.8167,19.56,75,10,1.89,MG,clear sky
94,kapa'a,22.0752,-159.319,26.18,85,75,5.66,US,light rain
95,nuku'alofa,-21.1333,-175.2,21.19,73,75,5.14,TO,broken clouds
96,greenville,35.6127,-77.3663,31.09,81,75,4.63,US,broken clouds
97,mbamba bay,-11.2833,34.7667,20.7,67,1,3.6,TZ,clear sky
98,ulaangom,49.9811,92.0667,21.31,39,2,1.4,MN,clear sky
99,anadyr,64.75,177.4833,12.28,81,0,2.0,RU,clear sky
100,la passe,45.5549,-0.8967,24.45,53,2,5.68,FR,clear sky
101,pudozh,61.8099,36.5345,22.2,56,80,1.98,RU,broken clouds
102,nova sintra,14.8667,-24.7167,22.89,83,100,3.58,CV,overcast clouds
103,mao,39.8885,4.2658,29.31,74,20,3.6,ES,few clouds
104,kuala terengganu,5.3302,103.1408,27.97,89,20,1.03,MY,few clouds
105,geraldton,-28.7667,114.6,4.23,87,0,2.06,AU,clear sky
106,guerrero negro,27.9769,-114.0611,21.95,73,91,2.76,MX,overcast clouds
107,morant bay,17.8815,-76.4093,34.84,69,67,5.25,JM,broken clouds
108,atafu village,-8.5421,-172.5159,28.51,74,99,5.29,TK,overcast clouds
109,kurchum,48.5722,83.6542,23.11,31,7,4.07,KZ,clear sky
110,shasta lake,40.6804,-122.3708,33.75,41,0,0.93,US,clear sky
111,nizhniy ingash,56.2,96.53,18.15,62,100,1.12,RU,overcast clouds
112,alaghsas,17.0187,8.0168,41.94,19,0,3.09,NE,clear sky
113,mount gambier,-37.8333,140.7667,8.54,80,69,2.86,AU,broken clouds
114,yellowknife,62.456,-114.3525,18.29,68,40,4.63,CA,smoke
115,antalaha,-14.9003,50.2788,22.03,79,70,3.82,MG,broken clouds
116,ghatkesar,17.4494,78.6853,27.36,83,100,6.39,IN,overcast clouds
117,christchurch,-43.5333,172.6333,5.53,89,100,1.54,NZ,fog
118,bridgewater,44.3835,-64.5155,26.73,84,100,5.66,CA,overcast clouds
119,tolanaro,-25.0319,46.9987,22.04,78,20,8.23,MG,few clouds
120,ust'-ilimsk,58.0006,102.6619,15.99,96,81,1.96,RU,broken clouds
121,bonthe,7.5264,-12.505,26.98,77,88,4.98,SL,light rain
122,klyuchi,52.2667,79.1667,17.26,68,30,5.2,RU,scattered clouds
123,nova vicosa,-17.8919,-39.3719,24.78,65,54,2.64,BR,broken clouds
124,dwarka,22.2394,68.9678,28.64,78,35,6.46,IN,scattered clouds
125,punta arenas,-53.15,-70.9167,3.06,81,40,6.17,CL,scattered clouds
126,chulakkurgan,43.765,69.1814,30.13,19,0,4.66,KZ,clear sky
127,puerto ayora,-0.7393,-90.3518,26.98,69,22,4.61,EC,few clouds
128,vallenar,-28.5708,-70.7581,24.59,8,44,1.73,CL,scattered clouds
129,wangqing,43.3218,129.7634,16.47,97,100,1.31,CN,overcast clouds
130,camabatela,-8.1881,15.375,28.66,21,0,2.5,AO,clear sky
131,papatowai,-46.5619,169.4708,9.43,77,73,6.93,NZ,broken clouds
132,afaahiti,-17.75,-149.2833,19.93,60,0,2.4,PF,clear sky
133,kuanda,56.3161,116.0806,17.66,63,52,1.34,RU,broken clouds
134,haapsalu,58.9431,23.5414,20.01,92,97,4.31,EE,moderate rain
135,broome,42.2506,-75.833,27.23,81,75,2.57,US,broken clouds
136,timmins,48.4669,-81.3331,15.9,82,100,1.54,CA,smoke
137,necochea,-38.5473,-58.7368,8.56,70,91,6.89,AR,light rain
138,alta sierra,35.7291,-118.5495,24.5,12,76,1.43,US,broken clouds
139,ornskoldsvik,63.2909,18.7153,16.53,94,75,5.14,SE,drizzle
140,prince george,53.9166,-122.753,16.81,82,75,1.54,CA,mist
141,thompson,55.7435,-97.8558,13.09,76,100,5.66,CA,overcast clouds
142,grand-bassam,5.2118,-3.7388,28.98,75,99,2.94,CI,overcast clouds
143,lubao,14.9167,120.55,26.04,91,100,4.01,PH,moderate rain
144,youghal,51.95,-7.8506,18.56,100,90,5.54,IE,overcast clouds
145,yeniseysk,58.4497,92.1703,15.06,86,56,2.08,RU,broken clouds
146,baardheere,2.3446,42.2764,29.78,43,100,6.38,SO,overcast clouds
147,haiku-pauwela,20.9219,-156.3051,23.91,76,0,2.57,US,clear sky
148,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,6.17,EC,broken clouds
149,port moresby,-9.4431,147.1797,23.68,88,20,5.14,PG,few clouds
150,taulaga,-11.0553,-171.0883,27.9,74,8,6.75,AS,clear sky
151,touros,-5.1989,-35.4608,29.14,58,5,7.72,BR,clear sky
152,port isabel,26.0734,-97.2086,34.45,62,0,6.17,US,clear sky
153,vorgashor,67.5833,63.95,17.7,72,98,2.76,RU,light rain
154,locust grove,33.346,-84.1091,31.05,69,20,1.34,US,few clouds
155,qashyr,53.0675,76.1036,16.7,75,62,4.26,KZ,broken clouds
156,longquan,24.6719,102.1613,17.95,70,58,1.46,CN,broken clouds
157,smithers,54.7804,-127.1743,11.18,93,75,1.03,CA,broken clouds
158,lodja,-3.4833,23.4333,33.54,28,48,0.35,CD,scattered clouds
159,acarau,-2.8856,-40.12,30.14,59,43,6.56,BR,scattered clouds
160,tralee,52.2704,-9.7026,16.14,82,40,5.66,IE,light rain
161,stanley,54.868,-1.6985,19.39,62,40,11.83,GB,scattered clouds
162,altai,46.3722,96.2583,20.6,21,0,2.38,MN,clear sky
163,voss,60.623,6.4229,16.41,76,94,3.56,NO,light rain
164,udachny,66.4167,112.4,11.36,57,100,3.77,RU,overcast clouds
165,praia da vitoria,38.7333,-27.0667,24.31,78,75,4.72,PT,broken clouds
166,rimouski,48.4488,-68.524,17.1,88,100,1.81,CA,overcast clouds
167,gebeit,21.0667,36.3167,38.54,14,0,1.76,SD,clear sky
168,teguise,29.0605,-13.564,24.12,61,75,10.8,ES,broken clouds
169,paracuru,-3.41,-39.0306,27.84,55,47,7.7,BR,scattered clouds
170,beroroha,-21.6667,45.1667,23.07,32,16,2.1,MG,few clouds
171,craig,40.5153,-107.5464,22.97,28,0,2.06,US,clear sky
172,gonabad,34.3529,58.6837,33.58,14,1,7.67,IR,clear sky
173,mount isa,-20.7333,139.5,18.87,59,100,1.54,AU,overcast clouds
174,isiro,2.7739,27.616,25.12,69,26,0.89,CD,scattered clouds
175,sarmiento,-45.5882,-69.07,0.13,61,0,1.43,AR,clear sky
176,huarmey,-10.0681,-78.1522,22.74,73,82,3.68,PE,broken clouds
177,an nuhud,12.7,28.4333,35.52,27,36,4.08,SD,scattered clouds
178,nagqu,31.5,92.0,4.96,80,60,1.45,CN,broken clouds
